Start date,Start time,End time,Subject
24/11/2020,11:45 AM,12:55 PM,11 CS
25/11/2020,7:55 AM,9:05 AM,Planning
25/11/2020,11:45 AM,12:55 PM,13 CS HL/SL
25/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
26/11/2020,11:45 AM,12:55 PM,12 CS HL/SL
26/11/2020,1:50 PM,3:00 PM,11 CS
27/11/2020,7:55 AM,9:05 AM,12 CS HL/SL
27/11/2020,9:10 AM,10:20 AM,12 CS HL
27/11/2020,1:50 PM,3:00 PM,13 CS HL/SL
30/11/2020,7:55 AM,9:05 AM,11 CS
30/11/2020,1:50 PM,3:00 PM,12 CS HL/SL
1/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
1/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
1/12/2020,11:45 AM,12:55 PM,12 CS HL
1/12/2020,1:50 PM,3:00 PM,Planning
2/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
2/12/2020,9:10 AM,10:20 AM,11 CS
2/12/2020,11:45 AM,12:55 PM,12 CS HL
3/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
3/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
4/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
4/12/2020,11:45 AM,12:55 PM,11 CS
7/12/2020,7:55 AM,9:05 AM,Planning
7/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
7/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
8/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
8/12/2020,1:50 PM,3:00 PM,11 CS
9/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
9/12/2020,9:10 AM,10:20 AM,12 CS HL
9/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
10/12/2020,7:55 AM,9:05 AM,11 CS
10/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
11/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
11/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
11/12/2020,11:45 AM,12:55 PM,12 CS HL
11/12/2020,1:50 PM,3:00 PM,Planning
14/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
14/12/2020,9:10 AM,10:20 AM,11 CS
14/12/2020,11:45 AM,12:55 PM,12 CS HL
15/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
15/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
16/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
16/12/2020,11:45 AM,12:55 PM,11 CS
17/12/2020,7:55 AM,9:05 AM,Planning
17/12/2020,11:45 AM,12:55 PM,13 CS HL/SL
17/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
18/12/2020,11:45 AM,12:55 PM,12 CS HL/SL
18/12/2020,1:50 PM,3:00 PM,11 CS
21/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
21/12/2020,9:10 AM,10:20 AM,12 CS HL
21/12/2020,1:50 PM,3:00 PM,13 CS HL/SL
22/12/2020,7:55 AM,9:05 AM,11 CS
22/12/2020,1:50 PM,3:00 PM,12 CS HL/SL
23/12/2020,7:55 AM,9:05 AM,13 CS HL/SL
23/12/2020,9:10 AM,10:20 AM,12 CS HL/SL
23/12/2020,11:45 AM,12:55 PM,12 CS HL
23/12/2020,1:50 PM,3:00 PM,Planning
24/12/2020,7:55 AM,9:05 AM,12 CS HL/SL
24/12/2020,9:10 AM,10:20 AM,11 CS
24/12/2020,11:45 AM,12:55 PM,12 CS HL
25/12/2020,9:10 AM,10:20 AM,13 CS HL/SL
